"exp","id","isold","condition1","rating","excluding"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",1,"shallow",6,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",1,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",2,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",3,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",4,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",5,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",6,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",6,"Include"
"KY2016_e1","KY2016_e1_38",0,"new",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"deep",6,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",1,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",2,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",3,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",4,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
"KY2016_e1","KY2016_e1_37",1,"shallow",5,"Include"
